ActivityName,Description,Website,ContactName,Email,Address,Category,AffiliatedWithCollege,College,RequiresDues,SkillLevel
Thinkers Alliance,A space to sharing original poetry and hosting open mic nights. Connect with peers through regular meetups and events.,http://www.powell.info/,Cristina Hernandez,matthewanderson@alexander-white.com,"7429 Smith Rue, Boston, MA 02110",Poetry,False,Massachusetts Institute of Technology,True,Advanced
Voices Union,Students gather here to sharing original poetry and hosting open mic nights. We welcome everyone to contribute their unique perspective.,http://www.thompson.com/,Carolyn Bailey,moyercatherine@stafford-stewart.org,"409 Miller Forges, Boston, MA 02116",Poetry,True,University of Massachusetts Boston,True,Intermediate
Voices Circle,"We aim to a community for writing, reading, and performing poetry. Our discussions are informal, engaging, and open-minded.",http://www.morris.com/,Wanda Winters,gholt@howard.net,"764 John Path, Boston, MA 02111",Poetry,True,Tufts University,True,Beginner
Exchange of Poetry,"Our club encourages students to spoken word, slams, and quiet reflection — all welcome. Open to all students, regardless of background or experience.",http://hart-davis.com/,Tanya Turner,fullerdaisy@duran.com,"09895 Steven Spring, Boston, MA 02111",Poetry,False,Boston College,False,Beginner
Dreamers of Poetry,"We come together to spoken word, slams, and quiet reflection — all welcome. Open to all students, regardless of background or experience.",http://olson.com/,Joshua Rosario,kjohnson@vasquez.com,"5587 Sanchez Causeway, Boston, MA 02116",Poetry,True,Massachusetts Institute of Technology,False,Advanced
Pulse of Poetry,"We aim to a community for writing, reading, and performing poetry. Open to all students, regardless of background or experience.",http://www.singh.com/,Jerry Evans,swansonrebecca@haney.info,"21214 Evans Loop, Boston, MA 02108",Poetry,True,Boston University,False,Intermediate
Vibes of Poetry,"This group is designed to a community for writing, reading, and performing poetry. Open to all students, regardless of background or experience.",http://sparks.info/,Valerie Sanchez,yolandabell@burch.com,"60642 Willis Passage, Boston, MA 02113",Poetry,False,Boston College,True,Advanced
Minds of Poetry,"Be part of a community that spoken word, slams, and quiet reflection — all welcome. Open to all students, regardless of background or experience.",http://www.garza.com/,Wendy Holland,gonzalezpaul@booker.com,"4180 Patricia Valley, Boston, MA 02116",Poetry,False,Harvard,True,Advanced
Roots Coalition,"We come together to sharing original poetry and hosting open mic nights. Open to all students, regardless of background or experience.",https://washington.info/,Karen Duke,wilkinsheather@miles.biz,"38694 Alexandria Path, Boston, MA 02111",Poetry,False,Boston College,False,Advanced
Pulse Team,"Our mission is to spoken word, slams, and quiet reflection — all welcome. Open to all students, regardless of background or experience.",http://lowe.biz/,Angela Ortiz,munozjoshua@shah.com,"7519 Brewer Dam, Boston, MA 02111",Poetry,True,Harvard,False,Intermediate
Poetry Team,"Join us as we sharing original poetry and hosting open mic nights. Open to all students, regardless of background or experience.",http://walker.com/,Kimberly Brown,bankstodd@scott-graham.info,"47945 Joshua Stream, Boston, MA 02109",Poetry,True,University of Massachusetts Boston,False,Intermediate
Voices Initiative,"Be part of a community that spoken word, slams, and quiet reflection — all welcome. Open to all students, regardless of background or experience.",https://brooks.com/,Paula King,davidparker@rivera-hall.org,"11109 Michael Manors, Boston, MA 02109",Poetry,True,Boston University,False,Intermediate
Thinkers Society,"We aim to spoken word, slams, and quiet reflection — all welcome. We aim to build community through tradition and practice.",http://www.bradley.com/,Scott Gonzalez,bmorrison@harrison-carpenter.com,"079 Deleon Camp, Boston, MA 02215",Poetry,False,University of Massachusetts Boston,True,Intermediate
Poetry Network,"An opportunity to a community for writing, reading, and performing poetry. Connect with peers through regular meetups and events.",http://www.murray.com/,Becky Franco,anthonyvaughn@sutton.info,"9774 Brenda Turnpike, Boston, MA 02111",Poetry,True,Boston College,False,Advanced
Exchange Circle,"Students gather here to sharing original poetry and hosting open mic nights. Our discussions are informal, engaging, and open-minded.",http://anderson.info/,Angela Franklin,ubarton@green.com,"1412 Gardner Squares, Boston, MA 02115",Poetry,True,Massachusetts Institute of Technology,True,Beginner
Vibes League,"A space to a community for writing, reading, and performing poetry. Open to all students, regardless of background or experience.",https://www.petersen-shields.com/,Kelly Singleton,robert44@ross.biz,"2075 Johnson Lakes, Boston, MA 02109",Poetry,False,Massachusetts Institute of Technology,False,Intermediate
Poetry Board,"An opportunity to spoken word, slams, and quiet reflection — all welcome. Open to all students, regardless of background or experience.",https://wise-turner.org/,Erica Mcguire,msantos@lee.info,"783 Rebecca Cliffs, Boston, MA 02115",Poetry,False,University of Massachusetts Boston,True,Intermediate
Dreamers Collective,"An opportunity to spoken word, slams, and quiet reflection — all welcome. We welcome everyone to contribute their unique perspective.",https://spencer.com/,Rodney Robinson,lpena@mason.info,"27963 Monica Prairie, Boston, MA 02215",Poetry,False,Boston University,True,Advanced
Explorers League,"Students gather here to sharing original poetry and hosting open mic nights. Open to all students, regardless of background or experience.",https://davis.info/,Manuel Hart,stephanietran@powers.com,"088 Albert Expressway, Boston, MA 02215",Poetry,True,Boston College,True,Advanced
Minds Society,"Students gather here to spoken word, slams, and quiet reflection — all welcome. We aim to build community through tradition and practice.",http://ramirez.com/,Greg Finley,mariothompson@butler.info,"04701 Orozco Turnpike, Boston, MA 02113",Poetry,True,Boston College,True,Advanced
Explorers Collective,"Our club encourages students to spoken word, slams, and quiet reflection — all welcome. We welcome everyone to contribute their unique perspective.",http://www.schneider.org/,Danielle Valdez,stephanie34@welch.com,"7578 Roberts Union, Boston, MA 02108",Poetry,False,Northeastern,False,Beginner
Explorers of Poetry,"Our mission is to sharing original poetry and hosting open mic nights. Open to all students, regardless of background or experience.",http://www.willis.com/,Austin Richardson,angelaramirez@haynes.biz,"485 Latoya Forks, Boston, MA 02110",Poetry,False,Massachusetts Institute of Technology,False,Beginner
Builders Initiative,"Our club encourages students to a community for writing, reading, and performing poetry. Open to all students, regardless of background or experience.",http://sullivan-graves.net/,Richard Sweeney,lee82@lewis.org,"0931 Elizabeth Circle, Boston, MA 02109",Poetry,False,Boston College,True,Intermediate
Explorers Initiative,"Students gather here to a community for writing, reading, and performing poetry. Open to all students, regardless of background or experience.",http://www.sanchez.com/,Stacy Vega,mcdonaldjoe@brown-morales.com,"139 Melinda Walk, Boston, MA 02118",Poetry,False,Boston University,False,Advanced
Poetry League,"Our mission is to a community for writing, reading, and performing poetry. Open to all students, regardless of background or experience.",https://best.com/,Michael Conrad,christopherevans@mcdonald-scott.info,"5609 Melissa Road, Boston, MA 02115",Poetry,False,Massachusetts Institute of Technology,True,Intermediate
Poetry Society,"A space to spoken word, slams, and quiet reflection — all welcome. We aim to build community through tradition and practice.",http://johnson.net/,Michael Jackson,thomasdavis@mckinney-williams.info,"4783 Kristine Square, Boston, MA 02108",Poetry,True,Boston University,True,Intermediate
Poetry Union,"Students gather here to spoken word, slams, and quiet reflection — all welcome. We welcome everyone to contribute their unique perspective.",https://smith-rivera.com/,Amy Leach,flong@flores.com,"580 Flores Tunnel, Boston, MA 02215",Poetry,True,University of Massachusetts Boston,True,Beginner
Poetry Circle,"A space to a community for writing, reading, and performing poetry. Our discussions are informal, engaging, and open-minded.",https://smith-davidson.net/,Johnny Palmer,torresanna@vang.com,"671 Karen Branch, Boston, MA 02113",Poetry,True,Massachusetts Institute of Technology,True,Advanced
Innovators Network,We come together to sharing original poetry and hosting open mic nights. Connect with peers through regular meetups and events.,https://www.washington-herman.biz/,Kevin Martin,joseph02@lewis-perez.net,"65301 Anderson Prairie, Boston, MA 02114",Poetry,False,Boston University,True,Intermediate
Vibes Coalition,"Our club encourages students to spoken word, slams, and quiet reflection — all welcome. Open to all students, regardless of background or experience.",http://www.rogers.net/,Rebecca Cox,andersonnicole@good-brown.org,"8619 Lisa Forest, Boston, MA 02108",Poetry,False,University of Massachusetts Boston,False,Beginner
Voices of Poetry,"An opportunity to sharing original poetry and hosting open mic nights. Open to all students, regardless of background or experience.",http://www.adams.com/,Denise Herrera,harrispatrick@wiggins-kennedy.com,"8542 Schneider Causeway, Boston, MA 02118",Poetry,False,University of Massachusetts Boston,True,Intermediate
Poetry Forum,"We come together to sharing original poetry and hosting open mic nights. Our discussions are informal, engaging, and open-minded.",http://palmer.biz/,Sarah Smith,alex25@adams.com,"898 Gilbert Square, Boston, MA 02215",Poetry,True,University of Massachusetts Boston,True,Advanced
Vibes Studio,"Be part of a community that collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://zimmerman.com/,Scott Johnson,mgibson@smith.net,"0091 Morton Station, Boston, MA 02115",Architecture,True,University of Massachusetts Boston,False,Advanced
Architecture Board,"This group is designed to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://moore-harris.com/,Chad Foster,reedpeter@smith-thomas.org,"640 Theresa Manors, Boston, MA 02110",Architecture,False,Northeastern,False,Beginner
Vibes Society,"Our club encourages students to tours, lectures, and builds focused on the built environment. We aim to build community through tradition and practice.",http://www.navarro-white.org/,George Barrett,jonhooper@humphrey.com,"41342 Gross Estates, Boston, MA 02118",Architecture,True,Northeastern,False,Intermediate
Thinkers Initiative,"This group is designed to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",http://www.patel.net/,Jill Davidson,nbrown@clark.info,"80169 Kelly Throughway, Boston, MA 02118",Architecture,False,Boston College,True,Intermediate
Roots Initiative,"Our mission is to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://rice.com/,Dustin Sanchez,susanmccormick@carter-young.biz,"6513 Jessica Plaza, Boston, MA 02118",Architecture,False,Northeastern,False,Beginner
Sessions Guild,"This group is designed to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",http://dickerson-harris.com/,Mr. Anthony Turner,davisruben@ward.com,"12177 Devin Meadow, Boston, MA 02108",Architecture,False,Boston College,False,Advanced
Roots Collective,An opportunity to collaborative design projects and studio critiques. We welcome everyone to contribute their unique perspective.,http://thompson.biz/,Sarah Macdonald,lambkevin@johnson-moore.com,"1847 Kevin Park, Boston, MA 02116",Architecture,True,Tufts University,True,Advanced
Minds of Architecture,"Our club encourages students to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://www.hall.com/,Gabriel Valdez,adriana77@moreno-ibarra.com,"0930 Michael Crossing, Boston, MA 02110",Architecture,True,Boston University,False,Intermediate
Architecture Network,"An opportunity to tours, lectures, and builds focused on the built environment. Connect with peers through regular meetups and events.",http://smith.org/,Elizabeth Macdonald,megan98@hall.net,"771 Smith Field, Boston, MA 02109",Architecture,False,Northeastern,True,Intermediate
Exchange Board,"Our mission is to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://www.rose-jennings.com/,Mr. Spencer Andrews Jr.,douglasgarcia@schultz.com,"68897 Brown Trace, Boston, MA 02118",Architecture,True,Boston College,False,Advanced
Explorers of Architecture,"We aim to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://frye.biz/,Mario Petersen,cynthiaholden@long-nichols.com,"633 Williams Trail, Boston, MA 02113",Architecture,True,Boston University,True,Intermediate
Builders Alliance,"We come together to tours, lectures, and builds focused on the built environment. Connect with peers through regular meetups and events.",http://schwartz.com/,Robert Horton,kayers@graham.biz,"650 Kathleen Plain, Boston, MA 02116",Architecture,False,Harvard,True,Intermediate
Architecture League,"An opportunity to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",http://hall-mcguire.info/,Danielle Best,darrell55@reynolds-berry.biz,"269 Robert Ville, Boston, MA 02109",Architecture,True,Tufts University,True,Beginner
Sessions of Architecture,"A space to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",http://nicholson.com/,John Garcia,christopherholmes@johnson.info,"739 Scott Highway, Boston, MA 02215",Architecture,False,Northeastern,False,Beginner
Architecture Club,"Our mission is to exploring space, design, and architectural theory. Join us weekly as we grow our shared passion.",https://www.harrison.net/,Shannon Thomas,carolynmurillo@hernandez.biz,"06013 Gallagher Ferry, Boston, MA 02113",Architecture,True,Tufts University,True,Beginner
Creators of Architecture,"Be part of a community that exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",http://pena.com/,Virginia Wood,marvintrevino@smith.com,"1087 Frey Forks, Boston, MA 02115",Architecture,False,University of Massachusetts Boston,False,Advanced
Exchange Club,Our club encourages students to collaborative design projects and studio critiques. Join us weekly as we grow our shared passion.,http://www.moore.com/,Wendy Garcia,jameswalters@harrison.net,"76598 Kelly Stream, Boston, MA 02115",Architecture,False,Boston College,False,Advanced
Dreamers of Architecture,"Join us as we tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://www.parker-gonzalez.com/,Belinda Brown,freemandarryl@hopkins.com,"98472 Washington Mountain, Boston, MA 02110",Architecture,False,Boston University,False,Intermediate
Creators Collective,"We aim to exploring space, design, and architectural theory. We welcome everyone to contribute their unique perspective.",http://www.hill.com/,Katherine Lewis,jeffreyware@harris.com,"881 Robert Mission, Boston, MA 02114",Architecture,False,Harvard,False,Intermediate
Thinkers of Architecture,"An opportunity to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",http://www.hull-adams.com/,Mr. John Huber,john42@davila.com,"03098 Susan Summit, Boston, MA 02108",Architecture,False,Northeastern,True,Intermediate
Innovators Guild,"Our club encourages students to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://www.harrison.info/,James Jones,aaronjones@johnston.com,"44044 Norris Mill, Boston, MA 02111",Architecture,True,Boston University,False,Intermediate
Roots Coalition,"Students gather here to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://www.hughes.com/,Nichole Rocha,arthurpruitt@burke.com,"0275 French Pass, Boston, MA 02113",Architecture,False,Massachusetts Institute of Technology,True,Advanced
Innovators of Architecture,"Be part of a community that tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://norman.org/,Jamie Campbell,cwatson@mcconnell-ingram.com,"83580 Mcpherson Valley, Boston, MA 02215",Architecture,False,Harvard,False,Intermediate
Architecture Forum,"This group is designed to exploring space, design, and architectural theory. Our discussions are informal, engaging, and open-minded.",http://www.dean.com/,Mary Travis,susan74@owens.biz,"355 Erica Wells, Boston, MA 02110",Architecture,False,Boston University,True,Intermediate
Roots of Architecture,"We come together to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",https://harris.com/,Robert Taylor,amandaramirez@villarreal-reyes.com,"22697 Patterson Points, Boston, MA 02108",Architecture,True,Northeastern,True,Beginner
Sessions Network,"Students gather here to exploring space, design, and architectural theory. Connect with peers through regular meetups and events.",https://www.turner.com/,Stacy Nguyen,jose77@thompson.com,"37748 Davis Circle, Boston, MA 02215",Architecture,True,Harvard,True,Advanced
Crew of Architecture,"We aim to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",http://www.saunders-wilson.com/,Beth Chavez,pdavila@palmer-matthews.net,"52603 Megan Islands, Boston, MA 02113",Architecture,False,Northeastern,False,Intermediate
Architecture Initiative,"A space to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",http://www.cannon-velasquez.com/,Eric Jackson,qbauer@lynch.net,"350 Katherine Walks, Boston, MA 02111",Architecture,True,Harvard,True,Beginner
Architecture Society,We aim to collaborative design projects and studio critiques. We aim to build community through tradition and practice.,https://bowman-miller.org/,Ryan Johnson,karen00@taylor-barrera.org,"969 Laura Vista, Boston, MA 02114",Architecture,True,Tufts University,True,Intermediate
Crew Union,"We aim to tours, lectures, and builds focused on the built environment. We welcome everyone to contribute their unique perspective.",http://www.stewart-lane.com/,Ashley Watson,deleonwilliam@daniels-ballard.com,"317 Brittany Squares, Boston, MA 02114",Architecture,False,Harvard,False,Intermediate
Architecture Alliance,"A space to tours, lectures, and builds focused on the built environment. Connect with peers through regular meetups and events.",http://www.wilson.org/,Amanda Guzman,cathy28@carter.info,"2140 Liu Mountain, Boston, MA 02109",Architecture,True,Boston College,True,Intermediate
Dreamers Guild,"An opportunity to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",http://hall.com/,Melissa Berger,colemancrystal@jackson.org,"892 John Lodge, Boston, MA 02108",Architecture,False,Harvard,True,Intermediate
Builders Studio,"Our club encourages students to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://russell.com/,Chad Ray,debrajimenez@brown-murray.com,"1907 Boyer Hill, Boston, MA 02115",Architecture,True,Massachusetts Institute of Technology,False,Beginner
Voices Forum,"This group is designed to tours, lectures, and builds focused on the built environment. Our discussions are informal, engaging, and open-minded.",http://leonard.com/,Jason Johnson,james67@peters-chase.com,"559 Stevenson Coves, Boston, MA 02111",Architecture,True,Harvard,False,Advanced
Architecture Coalition,"A space to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://www.brown.biz/,Tina Walker,droberts@thomas.com,"060 Edwards Row, Boston, MA 02116",Architecture,False,Boston University,True,Intermediate
Vibes League,"Our mission is to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",https://sanders.biz/,Brandon Curry,cobbdavid@dawson-shelton.com,"902 Matthew Viaduct, Boston, MA 02113",Architecture,True,Tufts University,False,Advanced
Innovators Society,A space to collaborative design projects and studio critiques. We aim to build community through tradition and practice.,http://www.salas-murray.com/,Jessica Patterson,jonathan58@walter.info,"9101 Amanda Junctions, Boston, MA 02116",Architecture,True,Massachusetts Institute of Technology,False,Beginner
Builders of Architecture,"Join us as we exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",https://www.sullivan-anderson.com/,Stephanie Bowers,rasmussenchristian@lara.com,"65939 Jensen Ways, Boston, MA 02215",Architecture,False,Harvard,True,Beginner
Crew Board,"Join us as we collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://taylor.com/,Jennifer Curtis,xwatkins@parker.com,"83158 Patrick Place, Boston, MA 02116",Architecture,True,Northeastern,False,Beginner
Exchange of Architecture,"An opportunity to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",https://www.martin.com/,Daniel Moore,saguirre@hale.org,"3775 Alan Station, Boston, MA 02215",Architecture,False,University of Massachusetts Boston,False,Intermediate
Architecture Union,"Be part of a community that tours, lectures, and builds focused on the built environment. We welcome everyone to contribute their unique perspective.",https://collins.com/,Marcus Washington,basscatherine@nelson.net,"27071 Scott Roads, Boston, MA 02110",Architecture,False,University of Massachusetts Boston,False,Advanced
Minds Society,Our mission is to collaborative design projects and studio critiques. We aim to build community through tradition and practice.,http://www.morrison.com/,Joshua Gilbert,ganderson@williamson.com,"5216 Hill Mount, Boston, MA 02111",Architecture,True,University of Massachusetts Boston,False,Intermediate
Voices of Architecture,"We aim to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://burke-paul.info/,April Schultz,cookjoseph@trevino.org,"1292 Schneider Ridges, Boston, MA 02113",Architecture,True,Boston College,False,Intermediate
Architecture Guild,"A space to collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",http://www.lopez.biz/,Connie Short,danielsmith@hurst.com,"9268 Mary Groves, Boston, MA 02111",Architecture,False,Boston College,False,Intermediate
Explorers Initiative,"We come together to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://www.rhodes.com/,Heather Daniels,jacobsonbenjamin@bailey.com,"3105 Brown Tunnel, Boston, MA 02110",Architecture,False,Boston University,False,Beginner
Roots Studio,"Be part of a community that collaborative design projects and studio critiques. Open to all students, regardless of background or experience.",https://hernandez.com/,Laurie Martin,msmith@harmon.com,"61585 Lauren Lodge, Boston, MA 02118",Architecture,True,Harvard,True,Advanced
Roots Forum,"We come together to collaborative design projects and studio critiques. Our discussions are informal, engaging, and open-minded.",https://schultz-west.com/,Samuel Parker,deborahberger@scott.com,"37326 Brian Alley, Boston, MA 02113",Architecture,True,Massachusetts Institute of Technology,False,Advanced
Architecture Collective,"Our club encourages students to exploring space, design, and architectural theory. We welcome everyone to contribute their unique perspective.",http://www.butler.info/,Andrew Hopkins,callahanerik@hammond.com,"7034 Nicholas Fork, Boston, MA 02115",Architecture,True,Massachusetts Institute of Technology,True,Advanced
Movement of Architecture,"This group is designed to exploring space, design, and architectural theory. Open to all students, regardless of background or experience.",https://www.jackson.org/,Daniel Casey,ihenry@ward.com,"060 Susan Field, Boston, MA 02109",Architecture,True,Northeastern,False,Beginner
Architecture Team,"We come together to tours, lectures, and builds focused on the built environment. Open to all students, regardless of background or experience.",https://www.shepherd.info/,Leah Davis,staceysandoval@smith-mills.com,"4915 Gonzalez Throughway, Boston, MA 02215",Architecture,False,Tufts University,False,Beginner
Crew Studio,"A space to hands-on filmmaking and video editing projects. Open to all students, regardless of background or experience.",http://www.lynch.com/,Brandy West,nicolepowers@lopez.com,"44840 Morgan Trail, Boston, MA 02116",Film,False,Harvard,True,Advanced
Film Society,"Our mission is to watch, make, and discuss independent and classic films. We aim to build community through tradition and practice.",https://hardy-carr.com/,Pamela Cohen,ehudson@owen-davis.com,"7042 Hernandez Curve, Boston, MA 02116",Film,True,Harvard,True,Beginner
Builders Union,"We aim to student screenings, reviews, and short film festivals. We welcome everyone to contribute their unique perspective.",http://gardner.com/,David Daniels,zgriffin@lopez-joyce.com,"0949 Rebecca Roads, Boston, MA 02113",Film,False,Boston College,False,Beginner
Film Team,"Our club encourages students to watch, make, and discuss independent and classic films. Open to all students, regardless of background or experience.",https://greene.net/,James Boyd,wanda43@pham-thomas.com,"347 Kevin Ports, Boston, MA 02108",Film,True,Boston University,False,Advanced
Pulse of Film,"An opportunity to hands-on filmmaking and video editing projects. Open to all students, regardless of background or experience.",https://www.navarro-black.org/,Jose Pierce,tommymontoya@le-marshall.com,"616 Diana Track, Boston, MA 02115",Film,True,Tufts University,True,Advanced
Explorers Forum,"Students gather here to watch, make, and discuss independent and classic films. Our discussions are informal, engaging, and open-minded.",https://www.gutierrez-pierce.info/,Chris Smith DDS,rileyzachary@johnson.net,"87987 John Light, Boston, MA 02111",Film,True,Tufts University,False,Beginner
Dreamers of Film,"Be part of a community that watch, make, and discuss independent and classic films. Open to all students, regardless of background or experience.",https://blackburn-lewis.com/,Shelby Myers,ucarney@rivera.com,"928 Ashley Streets, Boston, MA 02115",Film,False,Northeastern,False,Intermediate
Sessions Alliance,"Be part of a community that student screenings, reviews, and short film festivals. Connect with peers through regular meetups and events.",https://www.lopez.com/,Erik Gay,davidlove@black.com,"0427 Caitlin Radial, Boston, MA 02114",Film,True,Massachusetts Institute of Technology,True,Advanced
Minds League,"Our club encourages students to student screenings, reviews, and short film festivals. Open to all students, regardless of background or experience.",https://ward-gordon.com/,Trevor Kelly,jamie92@johnston.org,"24912 Brooke Harbors, Boston, MA 02108",Film,True,Boston College,False,Intermediate
Film Network,"Join us as we student screenings, reviews, and short film festivals. Connect with peers through regular meetups and events.",https://www.wilson.net/,Ryan Brown,yfrey@gomez.com,"1813 Singh Drive, Boston, MA 02215",Film,False,Tufts University,False,Intermediate
Innovators of Film,"We come together to hands-on filmmaking and video editing projects. Open to all students, regardless of background or experience.",http://www.blair.com/,Justin Gallagher,abigail10@walker-hernandez.com,"604 Leslie Place, Boston, MA 02111",Film,False,Northeastern,True,Intermediate
Innovators Forum,"We come together to hands-on filmmaking and video editing projects. Our discussions are informal, engaging, and open-minded.",https://www.copeland.com/,Justin Jensen,ilambert@bates.com,"82225 Davila Mews, Boston, MA 02114",Film,True,Boston University,True,Advanced
Thinkers Collective,An opportunity to hands-on filmmaking and video editing projects. We welcome everyone to contribute their unique perspective.,https://brown.net/,Kayla Evans,timothyjones@gutierrez-farley.com,"59540 April Radial, Boston, MA 02118",Film,True,Massachusetts Institute of Technology,False,Intermediate
Explorers Network,"Our club encourages students to student screenings, reviews, and short film festivals. Connect with peers through regular meetups and events.",https://allen-rodriguez.info/,Dylan Bautista,hicksdonald@brandt.org,"004 Santiago Rapid, Boston, MA 02111",Film,False,Northeastern,False,Beginner
Voices of Film,"Students gather here to student screenings, reviews, and short film festivals. Open to all students, regardless of background or experience.",http://www.flores-jones.com/,Wendy Hamilton,laurie39@griffin.biz,"604 Christina Circle, Boston, MA 02110",Film,True,Northeastern,True,Beginner
Film Circle,"We aim to watch, make, and discuss independent and classic films. Our discussions are informal, engaging, and open-minded.",http://jones-harris.biz/,David Rush,smithjennifer@aguirre-davis.com,"8425 Harrington Crossroad, Boston, MA 02111",Film,True,Tufts University,True,Advanced
Film Coalition,"Our mission is to student screenings, reviews, and short film festivals. Open to all students, regardless of background or experience.",http://pena-wallace.com/,Teresa Wong,jhanson@rhodes.info,"70574 Leonard Courts, Boston, MA 02116",Film,True,Massachusetts Institute of Technology,True,Intermediate
Creators Collective,"Our club encourages students to watch, make, and discuss independent and classic films. We welcome everyone to contribute their unique perspective.",https://lee.info/,Kevin Weber,umiles@arroyo.com,"560 Manning Ranch, Boston, MA 02110",Film,False,Boston College,False,Advanced
Film Alliance,Join us as we hands-on filmmaking and video editing projects. Connect with peers through regular meetups and events.,https://lyons-ray.com/,Jason Greene,erik38@smith.com,"23122 Ellis Road, Boston, MA 02115",Film,False,Northeastern,True,Advanced
Thinkers Alliance,"Students gather here to student screenings, reviews, and short film festivals. Connect with peers through regular meetups and events.",http://ramos.biz/,Rebecca Nelson,juliacase@navarro.com,"390 Jeffrey Estate, Boston, MA 02110",Film,True,University of Massachusetts Boston,True,Beginner
Film Forum,"Students gather here to hands-on filmmaking and video editing projects. Our discussions are informal, engaging, and open-minded.",https://www.beard-reyes.com/,Amy Hernandez,michelle78@garcia.com,"204 William Valley, Boston, MA 02114",Film,True,University of Massachusetts Boston,True,Intermediate
Thinkers League,"This group is designed to student screenings, reviews, and short film festivals. Open to all students, regardless of background or experience.",https://www.brown-kennedy.com/,Anthony Key,jholland@ingram.com,"639 Ricky Trafficway, Boston, MA 02116",Film,True,Tufts University,False,Advanced
Sessions League,"Be part of a community that student screenings, reviews, and short film festivals. Open to all students, regardless of background or experience.",https://oliver-rose.net/,Justin Petersen,jill19@lopez.biz,"9457 Ramos Station, Boston, MA 02118",Film,True,Massachusetts Institute of Technology,False,Beginner
Explorers Union,"Be part of a community that watch, make, and discuss independent and classic films. We welcome everyone to contribute their unique perspective.",https://www.perry.info/,Elizabeth Carpenter,awright@richardson.com,"9555 Sean Forge, Boston, MA 02109",Film,True,Tufts University,True,Beginner
Innovators Alliance,"Join us as we watch, make, and discuss independent and classic films. Connect with peers through regular meetups and events.",http://www.krause.com/,Krystal Powell,danakelley@escobar.com,"7375 Christopher Manor, Boston, MA 02116",Film,True,Boston University,False,Intermediate
Exchange Union,Be part of a community that hands-on filmmaking and video editing projects. We welcome everyone to contribute their unique perspective.,http://www.miller.com/,Erin Stephenson,bakerjohn@johnson.com,"11674 Anthony Union, Boston, MA 02108",Film,True,Boston College,False,Beginner
Minds of Film,"Join us as we student screenings, reviews, and short film festivals. Open to all students, regardless of background or experience.",https://owen-nelson.com/,Katrina Watts,ronniegray@miller.com,"69793 Jones Streets, Boston, MA 02115",Film,True,Boston College,False,Advanced
Minds Circle,"This group is designed to hands-on filmmaking and video editing projects. Our discussions are informal, engaging, and open-minded.",http://olsen-andrade.com/,William Simmons,liuscott@summers.com,"239 John Mews, Boston, MA 02118",Film,False,Harvard,True,Advanced
Exchange Guild,"Be part of a community that hands-on filmmaking and video editing projects. Open to all students, regardless of background or experience.",https://www.walter.com/,Sabrina Aguilar,lopezdustin@hunter-alexander.com,"3196 Fleming Estates, Boston, MA 02108",Film,False,Boston College,False,Intermediate
Film Studio,"An opportunity to watch, make, and discuss independent and classic films. Open to all students, regardless of background or experience.",http://www.johnson.org/,Cheryl Reyes,zwood@brown-garcia.com,"6873 Scott Lodge, Boston, MA 02215",Film,False,Massachusetts Institute of Technology,True,Intermediate
Film Guild,"Students gather here to watch, make, and discuss independent and classic films. Open to all students, regardless of background or experience.",http://vincent.com/,Jessica Blackwell,angelanash@marsh.info,"694 Williams Green, Boston, MA 02114",Film,False,Boston College,False,Intermediate
Thinkers of Film,"We come together to watch, make, and discuss independent and classic films. Open to all students, regardless of background or experience.",http://www.torres.biz/,Jacqueline Strong,vruiz@gomez-burns.net,"429 Lisa Roads, Boston, MA 02115",Film,False,Tufts University,True,Intermediate
